Effektive Maschenweite der Wälder (modifiziert) (2024)

lfd. Nr.
;Gebietsschlüssel
;Gebietsname
;Wert km²

1;08;Baden-Württemberg;7,32
2;09;Bayern;8,47
3;11;Berlin;1,43
4;12;Brandenburg;10,20
5;04;Bremen;0,05
6;02;Hamburg;0,45
7;06;Hessen;6,80
8;13;Mecklenburg-Vorpommern;3,38
9;03;Niedersachsen;4,18
10;05;Nordrhein-Westfalen;3,49
11;07;Rheinland-Pfalz;7,41
12;10;Saarland;2,55
13;14;Sachsen;4,55
14;15;Sachsen-Anhalt;5,43
15;01;Schleswig-Holstein;0,37
16;16;Thüringen;7,38
;;Deutschland;6,09
